transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference,date,year,month,day,hour,day_of_week,is_weekend
2026-04-06 08:00:00,subway,118,3 Av (L),Manhattan,omny,OMNY - Other,1.0,0.0,40.73285,-73.98612,POINT (-73.98612 40.73285),2026-04-06,2026,4,6,8,Monday,False
2026-04-06 15:00:00,subway,296,Marble Hill-225 St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,1.0,0.0,40.87456,-73.90983,POINT (-73.90983 40.87456),2026-04-06,2026,4,6,15,Monday,False
2026-04-16 16:00:00,subway,9,"57 St-7 Av (N,Q,R,W)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,3.0,0.0,40.764664,-73.98066,POINT (-73.98066 40.764664),2026-04-16,2026,4,16,16,Thursday,False
2026-04-14 22:00:00,subway,628,"Fulton St (2,3,4,5,A,C,J,Z)",Manhattan,omny,OMNY - Fair Fare,45.0,0.0,40.71009,-74.007835,POINT (-74.007835 40.71009),2026-04-14,2026,4,14,22,Tuesday,False
2026-04-05 11:00:00,subway,20,"City Hall (R,W)",Manhattan,omny,OMNY - Seniors & Disability,3.0,0.0,40.713284,-74.00698,POINT (-74.00698 40.713284),2026-04-05,2026,4,5,11,Sunday,True
2026-04-01 16:00:00,subway,613,"Lexington Av/59 St (4,5,6,N,R,W)",Manhattan,omny,OMNY - Other,29.0,4.0,40.762592,-73.96761,POINT (-73.96761 40.762592),2026-04-01,2026,4,1,16,Wednesday,False
2026-04-08 20:00:00,subway,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,omny,OMNY - Students,232.0,2.0,40.755745,-73.98758,POINT (-73.98758 40.755745),2026-04-08,2026,4,8,20,Wednesday,False
2026-04-05 11:00:00,subway,303,157 St (1),Manhattan,omny,OMNY - Students,22.0,0.0,40.83404,-73.94489,POINT (-73.94489 40.83404),2026-04-05,2026,4,5,11,Sunday,True
2026-04-18 00:00:00,subway,168,"Spring St (C,E)",Manhattan,omny,OMNY - Seniors & Disability,6.0,0.0,40.726227,-74.00374,POINT (-74.00374 40.726227),2026-04-18,2026,4,18,0,Saturday,True
2026-04-19 22:00:00,subway,327,"Chambers St (1,2,3)",Manhattan,omny,OMNY - Full Fare,180.0,0.0,40.715477,-74.00927,POINT (-74.00927 40.715477),2026-04-19,2026,4,19,22,Sunday,True
2026-04-01 14:00:00,subway,395,103 St (6),Manhattan,omny,OMNY - Students,94.0,1.0,40.7906,-73.94748,POINT (-73.94748 40.7906),2026-04-01,2026,4,1,14,Wednesday,False
2026-04-22 05:00:00,subway,605,"168 St-Washington Hts (1,A,C)",Manhattan,omny,OMNY - Seniors & Disability,22.0,0.0,40.840637,-73.93985,POINT (-73.93985 40.840637),2026-04-22,2026,4,22,5,Wednesday,False
2026-04-01 16:00:00,subway,119,1 Av (L),Manhattan,metrocard,Metrocard - Unlimited 7-Day,1.0,0.0,40.730953,-73.98163,POINT (-73.98163 40.730953),2026-04-01,2026,4,1,16,Wednesday,False
2026-04-09 21:00:00,subway,614,"59 St-Columbus Circle (1,A,C,B,D)",Manhattan,omny,OMNY - Other,106.0,0.0,40.768272,-73.981834,POINT (-73.981834 40.768272),2026-04-09,2026,4,9,21,Thursday,False
2026-04-13 19:00:00,subway,103,"Bowery (J,Z)",Manhattan,omny,OMNY - Other,2.0,0.0,40.72028,-73.99391,POINT (-73.99391 40.72028),2026-04-13,2026,4,13,19,Monday,False
2026-04-12 10:00:00,subway,165,"23 St (C,E)",Manhattan,metrocard,Metrocard - Other,1.0,0.0,40.745907,-73.99804,POINT (-73.99804 40.745907),2026-04-12,2026,4,12,10,Sunday,True
2026-04-15 06:00:00,subway,164,"34 St-Penn Station (A,C,E)",Manhattan,omny,OMNY - Fair Fare,26.0,0.0,40.75229,-73.99339,POINT (-73.99339 40.75229),2026-04-15,2026,4,15,6,Wednesday,False
2026-04-07 23:00:00,subway,308,Cathedral Pkwy (110 St) (1),Manhattan,omny,OMNY - Fair Fare,1.0,0.0,40.803967,-73.96685,POINT (-73.96685 40.803967),2026-04-07,2026,4,7,23,Tuesday,False
2026-04-19 00:00:00,subway,9,"57 St-7 Av (N,Q,R,W)",Manhattan,omny,OMNY - Other,9.0,0.0,40.764664,-73.98066,POINT (-73.98066 40.764664),2026-04-19,2026,4,19,0,Sunday,True
2026-04-21 10:00:00,subway,316,50 St (1),Manhattan,omny,OMNY - Other,24.0,0.0,40.761726,-73.98385,POINT (-73.98385 40.761726),2026-04-21,2026,4,21,10,Tuesday,False
